pitcher,pitcher_prior_0,pitcher_prior_1,pitcher_prior_2,pitcher_prior_3,pitcher_prior_4,pitcher_prior_5,pitcher_prior_6,pitcher_prior_7,pitcher_prior_8,pitcher_prior_9,pitcher_prior_10
434378,0.45367192862045297,0.004804392587508579,0.25051475634866166,0.08373369938229239,0.060398078242964996,0.0,0.14687714481811942,0.0,0.0,0.0,0.0
445276,0.0,0.1116751269035533,0.0583756345177665,0.0,0.0583756345177665,0.7715736040609137,0.0,0.0,0.0,0.0,0.0
445926,0.0,0.3739130434782609,0.06086956521739131,0.1565217391304348,0.0,0.391304347826087,0.017391304347826087,0.0,0.0,0.0,0.0
448179,0.36024844720496896,0.062111801242236024,0.0,0.006211180124223602,0.062111801242236024,0.15527950310559005,0.35403726708074534,0.0,0.0,0.0,0.0
450203,0.28223410576351754,0.13963161021984552,0.0,0.10160427807486631,0.0,0.08377896613190731,0.3927510398098633,0.0,0.0,0.0,0.0
453286,0.46273291925465837,0.0,0.2593167701863354,0.13664596273291926,0.0,0.009316770186335404,0.13198757763975155,0.0,0.0,0.0,0.0
455119,0.32608695652173914,0.14130434782608695,0.0,0.0,0.018115942028985508,0.34057971014492755,0.0,0.17391304347826086,0.0,0.0,0.0
458677,0.4417989417989418,0.0,0.35978835978835977,0.0,0.0,0.1455026455026455,0.0,0.05291005291005291,0.0,0.0,0.0
471911,0.19298245614035087,0.22169059011164274,0.25199362041467305,0.21850079744816586,0.003189792663476874,0.0,0.11164274322169059,0.0,0.0,0.0,0.0
472610,0.0273224043715847,0.3907103825136612,0.0,0.0,0.33060109289617484,0.0,0.0,0.25136612021857924,0.0,0.0,0.0
476594,0.12244897959183673,0.32653061224489793,0.0,0.061224489795918366,0.10204081632653061,0.3877551020408163,0.0,0.0,0.0,0.0,0.0
477132,0.33945841392649906,0.007736943907156673,0.41295938104448743,0.0,0.0,0.0,0.17891682785299806,0.059961315280464215,0.0,0.0,0.0009671179883945841
489119,0.23684210526315788,0.15263157894736842,0.010526315789473684,0.22631578947368422,0.03684210526315789,0.33157894736842103,0.005263157894736842,0.0,0.0,0.0,0.0
489446,0.5508474576271186,0.0,0.0,0.0,0.0,0.0,0.0,0.4491525423728814,0.0,0.0,0.0
493603,0.25925925925925924,0.3333333333333333,0.0,0.0,0.37037037037037035,0.037037037037037035,0.0,0.0,0.0,0.0,0.0
500743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
500779,0.11314363143631437,0.44308943089430897,0.0,0.22086720867208673,0.0,0.0,0.13008130081300814,0.0,0.0,0.09281842818428185,0.0
502043,0.09230769230769231,0.36538461538461536,0.011538461538461539,0.13076923076923078,0.19230769230769232,0.09615384615384616,0.11153846153846154,0.0,0.0,0.0,0.0
506433,0.06965174129353234,0.24129353233830847,0.18159203980099503,0.009950248756218905,0.15671641791044777,0.03980099502487562,0.16169154228855723,0.11691542288557213,0.01990049751243781,0.0,0.0024875621890547263
518397,0.0,0.6775956284153005,0.18032786885245902,0.14207650273224043,0.0,0.0,0.0,0.0,0.0,0.0,0.0
518489,0.34615384615384615,0.15865384615384615,0.3557692307692308,0.0,0.0,0.13942307692307693,0.0,0.0,0.0,0.0,0.0
518585,0.1842818428184282,0.14905149051490515,0.06504065040650407,0.0,0.0,0.0,0.0,0.6016260162601627,0.0,0.0,0.0
518876,0.2216024340770791,0.1374239350912779,0.06845841784989858,0.2723123732251521,0.0,0.20689655172413793,0.09330628803245436,0.0,0.0,0.0,0.0
518886,0.5555555555555556,0.0,0.0,0.0,0.3333333333333333,0.1111111111111111,0.0,0.0,0.0,0.0,0.0
519008,0.00819672131147541,0.4918032786885246,0.0,0.13934426229508196,0.36065573770491804,0.0,0.0,0.0,0.0,0.0,0.0
519141,0.7846607669616519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2153392330383481,0.0,0.0
519151,0.3433583959899749,0.14285714285714285,0.20551378446115287,0.07017543859649122,0.0,0.0,0.23809523809523808,0.0,0.0,0.0,0.0
519242,0.42117117117117114,0.03453453453453453,0.49324324324324326,0.05105105105105105,0.0,0.0,0.0,0.0,0.0,0.0,0.0
519326,0.36475409836065575,0.11885245901639344,0.28688524590163933,0.08196721311475409,0.14754098360655737,0.0,0.0,0.0,0.0,0.0,0.0
521230,0.5123456790123457,0.0,0.37037037037037035,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.006172839506172839
527048,0.047619047619047616,0.2,0.0,0.2761904761904762,0.0,0.4,0.0761904761904762,0.0,0.0,0.0,0.0
534910,0.09375,0.53125,0.0,0.0,0.203125,0.0,0.171875,0.0,0.0,0.0,0.0
541640,0.1111111111111111,0.1111111111111111,0.0,0.3333333333333333,0.0,0.4444444444444444,0.0,0.0,0.0,0.0,0.0
542881,0.37188328912466845,0.03978779840848806,0.033421750663129975,0.34535809018567637,0.0,0.20636604774535808,0.003183023872679045,0.0,0.0,0.0,0.0
